# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant
A1CF	A1CF	NM_001198818.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A1CF	A1CF	NM_001198819.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A1CF	A1CF	NM_001198820.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A1CF	A1CF	NM_001370130.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A1CF	A1CF	NM_001370131.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A1CF	A1CF	NM_014576.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A1CF	A1CF	NM_138932.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A1CF	A1CF	NM_138933.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A2M	A2M	NM_000014.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A2M	A2M	NM_001347423.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A2M	A2M	NM_001347424.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A2M	A2M	NM_001347425.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A2ML1	A2ML1	NM_001282424.2	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
A2ML1	A2ML1	NM_144670.6	protein_coding	0	0	1	5	0	0	0	0	5	1	0	0	0	0	0	0	0
A3GALT2	A3GALT2	NM_001080438.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A4GALT	A4GALT	NM_001318038.2	protein_coding	0	0	0	7	0	0	1	0	6	0	0	0	0	0	0	0	0
A4GALT	A4GALT	NM_017436.7	protein_coding	0	0	0	7	0	0	1	0	6	0	0	0	0	0	0	0	0
A4GNT	A4GNT	NM_016161.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AA06	AA06	NR_037584.2		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AACS	AACS	NM_001319839.2	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0
AACS	AACS	NM_001319840.2	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0
AACS	AACS	NM_023928.5	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0
AACSP1	AACSP1	NR_024035.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AACSP1	AACSP1	NR_135095.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AADACL2-AS1	AADACL2-AS1	NR_110202.1		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
AADACL2-AS1	AADACL2-AS1	NR_110203.1		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
AADACL3	AADACL3	NM_001103170.3	protein_coding	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
AADACL3	AADACL3	NR_111984.2		0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0
AAGAB	AAGAB	NM_001271885.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AAGAB	AAGAB	NM_001271886.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AAGAB	AAGAB	NM_024666.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AAMDC	AAMDC	NM_001316957.1	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
AAMDC	AAMDC	NM_001316958.1	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
AAMDC	AAMDC	NM_001316960.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
AAMDC	AAMDC	NM_001316961.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
AAMDC	AAMDC	NM_001316962.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
AAMDC	AAMDC	NM_001363564.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
AAMDC	AAMDC	NM_024684.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
AAMDC	AAMDC	NR_133637.1		0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
AANAT	AANAT	NM_001166579.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
AARS2	AARS2	NM_020745.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AARSD1	AARSD1	NM_001261434.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001286668.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001286669.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001286670.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001286671.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001286672.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001323890.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001323892.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001323893.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_001323899.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AASDH	AASDH	NM_181806.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AASS	AASS	NM_005763.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AATBC	AATBC	NR_026961.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AATK	AATK	NM_001080395.3	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0
AATK	AATK	NM_004920.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABAT	ABAT	NM_000663.4	protein_coding	0	0	0	10	1	0	0	0	9	0	0	0	0	0	0	0	0
ABAT	ABAT	NM_001127448.2	protein_coding	0	0	0	10	1	0	0	0	9	0	0	0	0	0	0	0	0
ABAT	ABAT	NM_020686.6	protein_coding	0	0	0	13	1	0	0	0	12	0	0	0	0	0	0	0	0
ABCA1	ABCA1	NM_005502.4	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ABCA10	ABCA10	NM_080282.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCA12	ABCA12	NM_015657.3	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0
ABCA12	ABCA12	NM_173076.3	protein_coding	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0
ABCA12	ABCA12	NR_103740.2		0	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0
ABCA13	ABCA13	NM_152701.5	protein_coding	0	0	0	20	0	0	0	0	20	0	0	0	0	0	0	0	0
ABCA17P	ABCA17P	NR_003574.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCA3	ABCA3	NM_001089.3	protein_coding	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0
ABCA4	ABCA4	NM_000350.3	protein_coding	0	0	0	14	0	0	0	0	14	0	0	0	0	0	0	0	0
ABCA5	ABCA5	NM_018672.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCA5	ABCA5	NM_172232.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCA7	ABCA7	NM_019112.4	protein_coding	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2
ABCB1	ABCB1	NM_000927.4	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ABCB1	ABCB1	NM_001348944.1	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ABCB1	ABCB1	NM_001348945.1	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ABCB1	ABCB1	NM_001348946.2	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ABCB10	ABCB10	NM_012089.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCB11	ABCB11.2	NM_003742.4.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCB4	ABCB4	NM_000443.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCB4	ABCB4	NM_018849.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCB4	ABCB4	NM_018850.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCB5	ABCB5	NM_001163941.2	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0
ABCB5	ABCB5	NM_001163942.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCB5	ABCB5	NM_001163993.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCB5	ABCB5	NM_178559.6	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ABCB6	ABCB6	NM_001349828.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
